racedate,venue,race_no,url,top1_horse_no,top1_overlay,top1_score_win,top1_p_mkt_win,top1_odds,stake_w,stake_w_tier,win_div,return_w,profit_w,did_bet_w,q_partner2_no,q_partner2_ranker_score,q_partner3_no,q_partner3_ranker_score,q_div_12,q_div_13,stake_q_total,return_q_total,profit_q_total
2025/09/21,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=7,1,0.1745232038903225,-1.435874987994156,0.16653333720887267,4.9,0.0,,,0.0,0.0,False,7,-0.09516767206838904,10,-0.7284142273454846,,,0.0,0.0,0.0
2025/09/21,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=8,4,-0.0896275072018674,-1.2092264514200366,0.24608568285809457,3.3,0.0,,33.0,0.0,0.0,False,6,0.09240743171845829,8,-0.4264906271969978,,218.0,0.0,0.0,0.0
2025/09/28,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=1,8,0.016202454409179383,-0.8144795140068366,0.3035008908530397,2.7,0.0,,27.0,0.0,0.0,False,7,-0.7702747362355553,2,-0.8606543502855764,,,0.0,0.0,0.0
2025/09/28,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=2,8,0.04069190055545088,-1.2243480906698454,0.22010750602102844,4.0,0.0,,40.0,0.0,0.0,False,4,1.6998836774374155,10,-1.3360916659018205,,,0.0,0.0,0.0
2025/09/28,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=3,3,-0.09252238893567757,-1.5113716537919288,0.19484204594610705,4.2,0.0,,,0.0,0.0,False,8,-0.5010854048615481,12,-1.2318635502897102,,,0.0,0.0,0.0
2025/09/28,ST,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=4,1,-0.02367545158773428,-0.5660457472538836,0.36763636355910184,2.2,0.0,,,0.0,0.0,False,10,0.3731016099257437,2,-1.5557579319943264,,107.5,0.0,0.0,0.0
2025/09/28,ST,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=5,2,0.03736829580725055,0.3537457883408383,0.5784411665284955,3.1,0.0,,,0.0,0.0,False,6,-0.9020078672279078,11,-1.369145567004184,,,0.0,0.0,0.0
2025/09/28,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=6,10,0.17197675262451118,-1.3606184658745066,0.1776142916133508,4.6,0.0,,,0.0,0.0,False,1,0.6127213848636035,3,-0.4579474434775663,,,0.0,0.0,0.0
2025/09/28,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=7,4,0.0927627064977834,0.6368165668212108,0.632754944037284,1.3,0.0,,13.5,0.0,0.0,False,8,0.737806372221578,2,0.17122454486282657,,,0.0,0.0,0.0
2025/09/28,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=8,8,-0.03714308149420368,-0.5704521075608107,0.3697454414778313,2.2,0.0,,,0.0,0.0,False,6,0.9156148143771139,10,0.2731269413299493,,,0.0,0.0,0.0
2025/09/28,ST,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=9,4,0.05114374791365456,-1.1294472798856754,0.23494594450623743,3.5,0.0,,,0.0,0.0,False,8,-0.794908402287336,6,-0.8845967718558936,,115.0,0.0,0.0,0.0
2025/09/28,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=10,7,0.04467378212953237,-0.6558032389622348,0.3317064746014502,2.5,0.0,,,0.0,0.0,False,9,0.7372251393896194,2,-0.5187400747754174,,97.0,0.0,0.0,0.0
2025/09/28,ST,11,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=11,5,-0.043323401457445766,-0.9423694777070215,0.2892465684393505,2.8,0.0,,,0.0,0.0,False,1,1.6265258910414195,10,-0.41862721401617353,,,0.0,0.0,0.0
2025/10/01,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=1,9,-0.013821261838579306,-1.0862448807831362,0.25494245215793154,3.2,0.0,,,0.0,0.0,False,4,-1.0438023671763192,5,-1.7490740853026094,,,0.0,0.0,0.0
2025/10/01,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=2,3,-0.037935470631278674,0.13705549249042598,0.5436364452258647,1.7,0.0,,,0.0,0.0,False,10,-0.26986337311151176,1,-1.1477347082015303,40.0,,0.0,0.0,0.0
2025/10/01,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=3,6,-0.012908713069077498,-1.3788223212776989,0.2032808668617789,4.0,0.0,,,0.0,0.0,False,9,0.7437064790647957,2,-0.41873586562071285,,,0.0,0.0,0.0
2025/10/01,ST,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=4,2,-0.0600480132129783,-0.7573802329488414,0.33240397421806683,2.5,0.0,,,0.0,0.0,False,5,0.6605796382874863,1,-0.6071528704572219,,,0.0,0.0,0.0
2025/10/01,ST,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=5,13,0.06539761692748187,-1.0917109453404585,0.2391930713957257,3.4,0.0,,,0.0,0.0,False,6,-0.4600417951876037,4,-0.6404993654840592,,,0.0,0.0,0.0
2025/10/01,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=6,3,0.014275513805552408,-0.8745886256432113,0.2913442847826978,2.8,0.0,,,0.0,0.0,False,5,2.4304436258550024,6,-0.06741516118185809,,,0.0,0.0,0.0
2025/10/01,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=7,4,0.11908975020579174,-0.3474660715473339,0.3854317576901048,2.1,0.0,,,0.0,0.0,False,5,1.9438791741129782,7,-0.5073259145512429,,,0.0,0.0,0.0
2025/10/01,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=8,5,-0.032253697380708726,-0.9159386946368218,0.2924147393446833,2.8,0.0,,,0.0,0.0,False,1,0.593480335701015,10,0.5052504024101584,,,0.0,0.0,0.0
2025/10/01,ST,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=9,9,-0.1972017264483089,-0.7788600804682769,0.3585510957618987,2.4,0.0,,,0.0,0.0,False,5,-1.4855434938852454,1,-1.8194612145039837,,,0.0,0.0,0.0
2025/10/01,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/01&Racecourse=ST&RaceNo=10,4,0.10408085537991556,-0.9444729851426481,0.25950289981247876,3.1,0.0,,,0.0,0.0,False,8,-0.542040216362467,6,-0.6010299667614081,,,0.0,0.0,0.0
2025/10/04,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=1,7,0.10227639882174719,-0.28128370067441544,0.40526853212634,2.0,0.0,,,0.0,0.0,False,9,-0.4900029311918858,12,-1.4155279329789532,,,0.0,0.0,0.0
2025/10/04,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=2,2,-0.021212151696978168,-1.011902280889317,0.27077578576653444,3.0,0.0,,,0.0,0.0,False,3,-0.7564606169448735,1,-1.0316607507725146,,,0.0,0.0,0.0
2025/10/04,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=3,3,-0.07583404320422985,-1.6348274885033858,0.17379112851378573,4.7,0.0,,,0.0,0.0,False,13,0.7509022182794548,8,-1.5175939301705637,,,0.0,0.0,0.0
2025/10/04,ST,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=4,12,-0.017314372699758072,-0.8337189185220188,0.30652740757319835,2.7,0.0,,,0.0,0.0,False,1,-0.4414101528587474,14,-1.4244611931157571,,,0.0,0.0,0.0
2025/10/04,ST,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=5,6,0.1448465952220347,-1.1436541396188176,0.21610668511133416,3.9,0.0,,,0.0,0.0,False,11,-0.6988441247861854,2,-0.8692630625730021,,,0.0,0.0,0.0
2025/10/04,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=6,4,0.07131105479247897,-0.38013942739094886,0.38901595631107927,2.1,0.0,,21.0,0.0,0.0,False,13,0.6080850520264371,5,-1.529290948538488,63.0,,0.0,0.0,0.0
2025/10/04,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=7,7,0.0656736937218609,-1.2463171304208809,0.21215389788953237,4.0,0.0,,,0.0,0.0,False,6,0.2923428369074567,12,-0.12013992276355805,,,0.0,0.0,0.0
2025/10/04,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=8,12,0.04918702448496654,-1.0273398247234415,0.25416384071452686,3.2,0.0,,,0.0,0.0,False,1,-0.02061731663611236,2,-0.635800548341017,,,0.0,0.0,0.0
2025/10/04,ST,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=9,3,0.03714334374197269,0.2011586209089093,0.540912145545509,1.5,0.0,,15.0,0.0,0.0,False,6,-0.679490874409238,4,-0.999169992079068,,63.5,0.0,0.0,0.0
2025/10/04,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/04&Racecourse=ST&RaceNo=10,4,0.09362979377460148,-0.6315298422287224,0.32625780939952786,2.5,0.0,,,0.0,0.0,False,3,1.422009837380401,13,0.7081377516752221,,,0.0,0.0,0.0
2025/10/08,HV,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=1,1,0.0941726448198826,-1.6308504139760898,0.15122529274576083,5.4,0.0,,54.0,0.0,0.0,False,10,0.254446870461901,5,-1.0609165676982917,,,0.0,0.0,0.0
2025/10/08,HV,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=2,1,-0.008498511981609275,-0.896476932675101,0.2915271865404551,2.8,0.0,,,0.0,0.0,False,10,0.7394207402938852,6,-0.2110369530948084,,,0.0,0.0,0.0
2025/10/08,HV,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=3,5,0.1920155394577407,-0.2681004971329615,0.3869582971170084,2.1,0.0,,21.5,0.0,0.0,False,2,1.243532494206456,6,0.2127849251413349,,,0.0,0.0,0.0
2025/10/08,HV,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=4,4,0.055438023118475704,-1.3409635413179455,0.1983877497965395,4.1,0.0,,41.5,0.0,0.0,False,8,-0.4487571837996985,11,-1.0260416207601595,108.5,,0.0,0.0,0.0
2025/10/08,HV,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=5,1,-0.05133073015361892,-1.2444316970939855,0.23270478910987435,3.5,0.0,,,0.0,0.0,False,2,1.4187748420310022,11,-1.2717360791609214,,,0.0,0.0,0.0
2025/10/08,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=6,8,-0.014730589137158648,-1.3821410450817206,0.2030385484307146,4.0,0.0,,,0.0,0.0,False,5,-0.13968408254986578,3,-0.24412039106182745,,,0.0,0.0,0.0
2025/10/08,HV,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=7,8,-0.09943895021781524,-1.5801773915860133,0.18531590799582723,4.4,0.0,,,0.0,0.0,False,1,1.6795685693455373,2,-0.48660006287592655,,,0.0,0.0,0.0
2025/10/08,HV,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=8,12,-0.07892931212737479,-1.1934503984884928,0.24702897943483584,3.3,0.0,,,0.0,0.0,False,7,2.447171572778051,8,-0.9776241639323155,,,0.0,0.0,0.0
2025/10/08,HV,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=9,5,-0.06675864837578038,-1.0922981362360278,0.26394978086617576,3.1,0.0,,,0.0,0.0,False,8,1.2022293290744517,2,0.9505614297015123,,,0.0,0.0,0.0
2025/10/12,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/12&Racecourse=ST&RaceNo=1,7,0.13484529336133896,-0.5349140059564116,0.3385507398016269,2.4,0.0,,,0.0,0.0,False,1,-0.6439302209149578,6,-0.6492556838348709,,,0.0,0.0,0.0
2025/10/12,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/12&Racecourse=ST&RaceNo=2,3,0.03254637236978706,0.7190943234086458,0.6651985618187001,1.2,0.0,,12.5,0.0,0.0,False,2,-0.5967396119010178,4,-1.226819225951893,,,0.0,0.0,0.0
